
[00:00:00.000 --> 00:00:03.440]   Okay, so good afternoon.
[01:27:37.000 --> 01:27:43.800]   then all those should be the same, and you can do a global warp and compute that for sub pixel
[01:27:43.800 --> 01:27:49.400]   shifts so that they all align as well as possible to each other, so assuming you can do that well,
[01:27:49.400 --> 01:27:54.200]   and you've been able to compute, let's say, the exact positioning of all those slightly shifted
[01:27:54.200 --> 01:28:01.800]   images with respect to each other, then you can accumulate them all on top of each other,
[01:28:01.800 --> 01:28:08.200]   and average out the results, okay, by averaging out the results, you can essentially get rid of
[01:28:08.200 --> 01:28:17.080]   noise, you can get more precise measurement of the values, but the problem is you'll only improve
[01:28:17.080 --> 01:28:22.760]   the signal to noise ratio, as you know from combining measurements, you only ameliorate
[01:28:22.760 --> 01:28:32.440]   at square root of n type of rate of improving your measurements, right, if you take the average of a
[01:28:32.440 --> 01:28:40.360]   thousand numbers, of a hundred numbers, you'll only be ten times as good as taking the original
[01:28:40.360 --> 01:28:45.080]   measurement or so, right, so if you average a hundred measurements, you'll be ten times as good
[01:28:45.080 --> 01:28:50.680]   as the, in terms of uncertainty as the, as a single measurement by itself, right, it goes with the
[01:28:50.680 --> 01:28:59.880]   square root in terms of the variance, reduces only with the square root, so by adding, averaging
[01:28:59.880 --> 01:29:04.920]   out many images, you get a better and better estimate, but only improvement at this rate here,
[01:29:04.920 --> 01:29:13.400]   by adding many images together, the problem is that if you look at this blurring kernel here,
[01:29:14.120 --> 01:29:21.480]   as we've seen, it actually decreases with a kind of a double exponential, and so the value is as
[01:29:21.480 --> 01:29:26.680]   you go further down from your Gaussian peak, you know, here it's still easy and a little bit up to
[01:29:26.680 --> 01:29:31.400]   here, but then it actually goes down very, very fast from there, and so if you want to go from a
[01:29:31.400 --> 01:29:37.320]   factor of two increase in resolution to a factor of three or four in resolution, you need to overcome
[01:29:37.320 --> 01:29:44.760]   the fact that it's gone down from, you know, 66% to 5% to 1% to a thousand, you know, to a thousand,
[01:29:44.760 --> 01:29:51.000]   etc., in, in, you know, every time you go a little bit further, and so that's kind of the intrinsic
[01:29:51.000 --> 01:29:57.160]   limit is you can keep adding more images, but you only get, you know, if you now need to go from
[01:29:57.160 --> 01:30:04.040]   three sigma to four sigma, you know, the gap is so big that you need to take, you know,
[01:30:04.040 --> 01:30:08.360]   orders of magnitude more images to average, and then it's assuming that you can all perfectly
[01:30:08.360 --> 01:30:15.480]   align them and so on and so on and so on, and so essentially this is really kind of hopeless
[01:30:15.480 --> 01:30:21.480]   beyond a certain point of factor two or three, except some military cameras and satellites and so on,
[01:30:21.480 --> 01:30:25.320]   they can of course make sure that they don't have something that looks like this,
[01:30:25.320 --> 01:30:30.680]   but that they have actual special lenses and things that actually will preserve a lot of
[01:30:30.680 --> 01:30:36.360]   high frequencies, and then you can actually do super resolution potentially, right? Okay, so that's
[01:30:36.360 --> 01:30:43.640]   it for today. In terms of next week, we'll look at beyond the Fourier transform to other types of
[01:30:43.640 --> 01:30:53.880]   transforms, both wavelet transforms, which we've seen kind of this problem with Fourier, that
[01:30:53.880 --> 01:30:59.640]   there's actually for hard edges and things like this, and in real scenes you often have hard edges
[01:30:59.640 --> 01:31:05.160]   and so on. It's a challenge because all those, those are all the frequencies together, so you have
[01:31:05.160 --> 01:31:09.320]   a lot of frequencies that are correlated that you exactly have to align to reconstruct the image
[01:31:09.320 --> 01:31:17.080]   properly and so on. Wavelets are in a sense going to try to avoid that. Wavelets are both have a
[01:31:17.080 --> 01:31:21.800]   frequency component, but also a location component. Remember Fourier was global over the whole image.
[01:31:21.800 --> 01:31:28.520]   Here will do things, wavelets are a combination of they're both local, but they're also, they're
[01:31:28.520 --> 01:31:32.760]   both local in the frequency domain and in the spatial domain, typically. They have this, they
[01:31:32.760 --> 01:31:40.280]   bound in both spaces. Those are generic ones. We'll also look very specifically at can we find
[01:31:40.280 --> 01:31:46.760]   transformations for particular types of image collections? For example, faces. Can we, by
[01:31:46.760 --> 01:31:52.040]   knowing we look at faces that our image collection is about faces, can we do something more interesting
[01:31:52.040 --> 01:31:57.000]   than just assuming that it's generic images of, you know, anytime? So that's what we'll look at next
[01:31:57.000 --> 01:32:05.000]   week. Okay, I'll leave you with that.

