
[00:00:00.000 --> 00:00:02.000]   Okay, good morning.
[01:19:23.000 --> 01:19:28.000]   Also, again, here you can really directly understand this just mathematically get the number.
[01:19:28.000 --> 01:19:31.000]   You look at this matrix here.
[01:19:31.000 --> 01:19:33.000]   How many phases do you need to capture?
[01:19:33.000 --> 01:19:36.000]   Well, you don't know, but, you know, you capture a whole bunch of phases.
[01:19:36.000 --> 01:19:38.000]   You do the singular value decomposition.
[01:19:38.000 --> 01:19:45.000]   And if you see that, you know, after a hundred values, like the rest is really irrelevant,
[01:19:45.000 --> 01:19:52.000]   you can model every phase that you keep adding to your data set is already perfectly modeled inside the space of, you know,
[01:19:52.000 --> 01:19:58.000]   your hundred first singular values, for example, for the veteran Lance model, for example.
[01:19:58.000 --> 01:20:01.000]   Well, you know, then there's really not much more to be captured, right?
[01:20:01.000 --> 01:20:07.000]   If you can capture 99% of the appearance of the phase from your first hundred singular values,
[01:20:07.000 --> 01:20:12.000]   it means intrinsically you actually didn't need more than a hundred phases to actually capture this.
[01:20:12.000 --> 01:20:15.000]   If you have hundreds randomly distributed phases, you should actually have had captures.
[01:20:15.000 --> 01:20:18.000]   Now, if you only take a hundred phases, you don't know this, right?
[01:20:18.000 --> 01:20:23.000]   It's only once you capture 200 phases that you see what actually, you know, a hundred is good enough.
[01:20:23.000 --> 01:20:28.000]   Having had 200 is still good because it will have reduced the noise on your, you know,
[01:20:28.000 --> 01:20:32.000]   a hundred dimensional space of how phases, you know, typically look like and so on,
[01:20:32.000 --> 01:20:36.000]   because it averages out a bit the noise and so on, right?
[01:20:36.000 --> 01:20:41.000]   Okay, so those are some of the insights on to know the dimensionality of the problem.
[01:20:41.000 --> 01:20:43.000]   Literally in the linear space is pretty easy.
[01:20:43.000 --> 01:20:47.000]   It's you just look at a single values and see how many are actually useful.
[01:20:47.000 --> 01:20:50.000]   Okay, and that really depends on what you want to do.
[01:20:50.000 --> 01:20:59.000]   Being able to still see the difference between people might need less than being able to have a fully photorealistic representation of every single person.
[01:20:59.000 --> 01:21:05.000]   You know, and then if you have like a Tom Hanks, you know, like really be able to recognize the, you know,
[01:21:05.000 --> 01:21:09.000]   once you project in this lower dimensional space to recognize Tom Hanks, you know,
[01:21:09.000 --> 01:21:13.000]   you might need a little bit more than just being able to differentiate between people, for example, right?
[01:21:13.000 --> 01:21:19.000]   Differentiating between people means preserving of difference, you know,
[01:21:19.000 --> 01:21:24.000]   so that you can still tell them apart, being able to, you be happy and, you know,
[01:21:24.000 --> 01:21:28.000]   you'll be able to see that it's Tom Hanks might be another level of, you know,
[01:21:28.000 --> 01:21:31.000]   you might see like, well, it looks like Tom Hanks a bit, but it's not quite him.
[01:21:31.000 --> 01:21:35.000]   There's something off, you know, like, because there's still too much error that you left in,
[01:21:35.000 --> 01:21:40.000]   although it would be enough to recognize him compared to the rest of the people in database.
[01:21:40.000 --> 01:21:46.000]   It might not be enough to, you know, have you think it's a photorealistic representation of the actor, right?
[01:21:46.000 --> 01:21:54.000]   Okay, so again, we start from, we know, you know, here we normalize the pose.
[01:21:54.000 --> 01:21:58.000]   Notice it's just a frontal pose, right?
[01:21:58.000 --> 01:22:01.000]   Pixel by pixel correspondence is what we assume here and so on.
[01:22:01.000 --> 01:22:05.000]   Assuming that, you know, we do that, we subtract the average face,
[01:22:05.000 --> 01:22:11.000]   we get same dimension of matrix, we simplify that by doing ceiling of value decomposition,
[01:22:11.000 --> 01:22:16.000]   we clip it to a smaller set of singular values, whatever is relevant to our problem,
[01:22:16.000 --> 01:22:21.000]   like which error can we ignore? Essentially here, this determines how much we can clip off
[01:22:21.000 --> 01:22:23.000]   and how compact we can make it.
[01:22:23.000 --> 01:22:29.000]   And then we can do the sum of square difference matching in the approximate space here.
[01:22:29.000 --> 01:22:32.000]   And so be more efficient. Essentially, we're doing something like this.
[01:22:32.000 --> 01:22:36.000]   We represent the face as the average face plus a number of coefficients,
[01:22:36.000 --> 01:22:42.000]   meaning what we actually do is we subtract this and then we project on those coefficients, right?
[01:22:42.000 --> 01:22:47.000]   So multiply which is each of those images and get one scalar per product here.
[01:22:47.000 --> 01:22:53.000]   We do the inner product between this and the actual face with this subtracted out.
[01:22:53.000 --> 01:22:59.000]   Okay? And then we can easily compare in this coefficient space.
[01:22:59.000 --> 01:23:05.000]   Okay? Okay, so now we'll continue with this on Thursday,
[01:23:05.000 --> 01:23:12.000]   but essentially something really interesting here, which shows the limitations of egg and faces.
[01:23:12.000 --> 01:23:18.000]   So here people looked at differences due to varying elimination
[01:23:18.000 --> 01:23:24.000]   and seeing that those can actually be much more important than the actual differences between faces.
[01:23:24.000 --> 01:23:33.000]   Okay? So what those guys did here was they looked at the error.
[01:23:33.000 --> 01:23:38.000]   They got in a simple -- this is with the number of principal components.
[01:23:38.000 --> 01:23:42.000]   So from 0 to 150 here.
[01:23:42.000 --> 01:23:47.000]   So this is -- the principal component is how many singular values where they're actually using, right?
[01:23:47.000 --> 01:23:55.000]   They looked at this from 0 to 150 here and looked at how the error in recognition --
[01:23:55.000 --> 01:24:00.000]   so they took a vector, you know, they took the first 50, for example,
[01:24:00.000 --> 01:24:03.000]   and so they had a -- you know, instead of the fulls every pixel,
[01:24:03.000 --> 01:24:09.000]   they just took the first 50 coefficients after going to the egg and face space
[01:24:09.000 --> 01:24:15.000]   and correlated it with the incoming vector and then saw how often they found the correct one versus the incorrect one.
[01:24:15.000 --> 01:24:18.000]   And I'm not sure exactly -- so this is the error rate they had,
[01:24:18.000 --> 01:24:23.000]   and I'm not sure exactly how big the database was they were comparing to, so how hard the problem was.
[01:24:23.000 --> 01:24:26.000]   Obviously if you only compare to two faces, which of the two is it,
[01:24:26.000 --> 01:24:29.000]   that's an easier problem than if you have a thousand faces in your database,
[01:24:29.000 --> 01:24:33.000]   because then the random distance between faces is going to be a lot smaller,
[01:24:33.000 --> 01:24:37.000]   and a small mistake could already make you recognize the wrong face, right?
[01:24:37.000 --> 01:24:42.000]   Anyways, they were getting an error rate as soon as they had --
[01:24:42.000 --> 01:24:49.000]   so you see here they needed about, say, 30 faces, 30 egg and faces, 30 coefficients,
[01:24:49.000 --> 01:24:54.000]   to get a decent recognition, but then adding more didn't help, okay?
[01:24:54.000 --> 01:25:00.000]   So using a more model that better approximates the original face was actually not helping them.
[01:25:00.000 --> 01:25:05.000]   And then something very interesting, if they had dropped the three first coefficients,
[01:25:05.000 --> 01:25:09.000]   they actually did a lot better, a lot less error, right?
[01:25:09.000 --> 01:25:14.000]   They went from 25% error to 15% error, or like even a bit below that.
[01:25:14.000 --> 01:25:23.000]   So why is that? Well, you know, it has to do with the elimination that was in the database here,
[01:25:23.000 --> 01:25:26.000]   the elimination change. If we look back here, right?
[01:25:26.000 --> 01:25:31.000]   If you look at the first three here, it's mostly capturing elimination changes.
[01:25:31.000 --> 01:25:40.000]   So it means that most of the energy, you know, the differences between images is mostly captured here,
[01:25:40.000 --> 01:25:46.000]   which means that even my database, if people start with someone has light from here in the database,
[01:25:46.000 --> 01:25:49.000]   and someone else is stored with light from there in the database,
[01:25:49.000 --> 01:25:55.000]   but now that person actually have a query image with a light not here, but over here,
[01:25:55.000 --> 01:26:01.000]   then this picture of that person, of the person that was in the database with the light over here,
[01:26:01.000 --> 01:26:06.000]   suddenly that picture might actually look much closer in the difference to this other person,
[01:26:06.000 --> 01:26:10.000]   but that had light from the same side in the database.
[01:26:10.000 --> 01:26:13.000]   So essentially that's because these are the biggest coefficients,
[01:26:13.000 --> 01:26:19.000]   so that's where most of the energy is actually in the lighting and not in the identity.
[01:26:19.000 --> 01:26:24.000]   So that was essentially, that's the problem that is illustrated here,
[01:26:24.000 --> 01:26:33.000]   that if you take away the first three coefficients, this actually corresponds to this,
[01:26:33.000 --> 01:26:38.000]   that this actually does better, and that's because those first three actually irrelevant variations,
[01:26:38.000 --> 01:26:44.000]   and so if you actually take them out, you do better.
[01:26:44.000 --> 01:26:50.000]   So we want, I won't have the time to explain this today, but just like to get started,
[01:26:50.000 --> 01:26:58.000]   the idea is that we have, let's say here one, two, three, four, five classes, five people, five individuals,
[01:26:58.000 --> 01:27:04.000]   and we want to differentiate between those five individuals.
[01:27:04.000 --> 01:27:08.000]   So essentially we have, you know, this is the center of each of those,
[01:27:08.000 --> 01:27:14.000]   this is the average of the red individual and the average of the gray individual, etc.
[01:27:14.000 --> 01:27:21.000]   And what we want to do is, we want to somehow ignore,
[01:27:21.000 --> 01:27:27.000]   we want to treat differently the variation within an individual and the variation across individuals.
[01:27:27.000 --> 01:27:33.000]   And we care about the variation across individuals and we don't care about the variation within an individual.
[01:27:33.000 --> 01:27:41.000]   If my task is, again it depends on the task, if my task is to determine what is the identity of the person,
[01:27:41.000 --> 01:27:49.000]   then I care about the difference between individuals, I don't care about, you know, how the individual appearance can vary.
[01:27:49.000 --> 01:27:54.000]   Actually I'm going to care about to model it and then to explicitly ignore it.
[01:27:54.000 --> 01:28:00.000]   That's what we'll see next week, how you can also with linear algorithms actually do something quite interesting there.
[01:28:00.000 --> 01:28:02.000]   Okay, so we see that on Thursday.
[01:28:02.000 --> 01:28:05.360]   [APPLAUSE]
[01:28:05.360 --> 01:28:08.040]   (audience applauding)

