
[00:00:00.000 --> 00:00:02.080]   (audience murmuring)
[00:58:22.100 --> 00:58:24.100]   So, basically, I am going to show you how this looks.
[00:58:24.100 --> 00:58:26.100]   So, basically, I am going to show you how this looks.
[00:58:26.100 --> 00:58:28.100]   So, basically, I am going to show you how this looks.
[00:58:28.100 --> 00:58:30.100]   So, basically, I am going to show you how this looks.
[00:58:30.100 --> 00:58:32.100]   So, basically, I am going to show you how this looks.
[00:58:32.100 --> 00:58:34.100]   So, basically, I am going to show you how this looks.
[00:58:34.100 --> 00:58:36.100]   So, basically, I am going to show you how this looks.
[00:58:36.100 --> 00:58:38.100]   So, basically, I am going to show you how this looks.
[00:58:38.100 --> 00:58:40.100]   So, basically, I am going to show you how this looks.
[00:58:40.100 --> 00:58:42.100]   So, basically, I am going to show you how this looks.
[00:58:42.100 --> 00:58:44.100]   So, basically, I am going to show you how this looks.
[00:58:44.100 --> 00:58:46.100]   So, basically, I am going to show you how this looks.
[00:58:46.100 --> 00:58:48.100]   So, basically, I am going to show you how this looks.
[00:58:48.100 --> 00:58:50.100]   So, basically, I am going to show you how this looks.
[00:58:50.100 --> 00:58:52.100]   So, basically, I am going to show you how this looks.
[00:58:52.100 --> 00:58:54.100]   So, basically, I am going to show you how this looks.
[00:58:54.100 --> 00:58:56.100]   So, basically, I am going to show you how this looks.
[00:58:56.100 --> 00:58:58.100]   So, basically, I am going to show you how this looks.
[00:58:58.100 --> 00:59:00.100]   So, basically, I am going to show you how this looks.
[00:59:00.100 --> 00:59:02.100]   So, basically, I am going to show you how this looks.
[00:59:02.100 --> 00:59:04.100]   So, basically, I am going to show you how this looks.
[00:59:04.100 --> 00:59:06.100]   So, basically, I am going to show you how this looks.
[00:59:06.100 --> 00:59:08.100]   So, basically, I am going to show you how this looks.
[00:59:08.100 --> 00:59:10.100]   So, basically, I am going to show you how this looks.
[00:59:10.100 --> 00:59:12.100]   So, basically, I am going to show you how this looks.
[00:59:12.100 --> 00:59:14.100]   So, basically, I am going to show you how this looks.
[00:59:14.100 --> 00:59:16.100]   So, basically, I am going to show you how this looks.
[00:59:16.100 --> 00:59:18.100]   So, basically, I am going to show you how this looks.
[00:59:18.100 --> 00:59:20.100]   So, basically, I am going to show you how this looks.
[00:59:20.100 --> 00:59:22.100]   So, basically, I am going to show you how this looks.
[00:59:22.100 --> 00:59:24.100]   So, basically, I am going to show you how this looks.
[00:59:24.100 --> 00:59:26.100]   So, basically, I am going to show you how this looks.
[00:59:26.100 --> 00:59:28.100]   So, basically, I am going to show you how this looks.
[00:59:28.100 --> 00:59:30.100]   So, basically, I am going to show you how this looks.
[00:59:30.100 --> 00:59:32.100]   So, basically, I am going to show you how this looks.
[00:59:32.100 --> 00:59:34.100]   So, basically, I am going to show you how this looks.
[00:59:34.100 --> 00:59:36.100]   So, basically, I am going to show you how this looks.
[00:59:36.100 --> 00:59:38.100]   So, basically, I am going to show you how this looks.
[00:59:38.100 --> 00:59:40.100]   So, basically, I am going to show you how this looks.
[00:59:40.100 --> 00:59:42.100]   So, basically, I am going to show you how this looks.
[00:59:42.100 --> 00:59:44.100]   So, basically, I am going to show you how this looks.
[00:59:44.100 --> 00:59:46.100]   So, basically, I am going to show you how this looks.
[00:59:46.100 --> 00:59:48.100]   So, basically, I am going to show you how this looks.
[00:59:48.100 --> 00:59:50.100]   So, basically, I am going to show you how this looks.
[00:59:50.100 --> 00:59:52.100]   So, basically, I am going to show you how this looks.
[00:59:52.100 --> 00:59:54.100]   So, basically, I am going to show you how this looks.
[00:59:54.100 --> 00:59:56.100]   So, basically, I am going to show you how this looks.
[00:59:56.100 --> 01:00:01.100]   [ Inaudible ]
[01:00:01.100 --> 01:00:03.100]   Yes, it is minus.
[01:00:03.100 --> 01:00:06.100]   No, it is not. Sorry.
[01:00:06.100 --> 01:00:14.100]   [ Inaudible ]
[01:00:14.100 --> 01:00:16.100]   Okay.
[01:00:16.100 --> 01:00:20.100]   Any questions?
[01:00:20.100 --> 01:00:22.100]   No. Okay.
[01:00:22.100 --> 01:00:25.100]   So, we have seen now blurring filters.
[01:00:25.100 --> 01:00:27.100]   We have seen sharpening filters.
[01:00:27.100 --> 01:00:30.100]   These are face detection filters.
[01:00:30.100 --> 01:00:34.100]   So, does anyone notice something on these filters?
[01:00:34.100 --> 01:00:37.100]   What could those filters be showing?
[01:00:37.100 --> 01:00:39.100]   Maybe.
[01:00:39.100 --> 01:00:43.100]   Yeah.
[01:00:43.100 --> 01:00:45.100]   One of them looks like nose.
[01:00:45.100 --> 01:00:46.100]   Exactly.
[01:00:46.100 --> 01:00:51.100]   So, in this one, you --
[01:00:51.100 --> 01:00:55.100]   the part of the eye in the really pixeled image
[01:00:55.100 --> 01:00:59.100]   is going to be darker of the eye section because of --
[01:00:59.100 --> 01:01:01.100]   in most cases,
[01:01:01.100 --> 01:01:03.100]   data sets are also, like,
[01:01:03.100 --> 01:01:06.100]   made on the most general part of society.
[01:01:06.100 --> 01:01:09.100]   So, mostly, you have darker persons.
[01:01:09.100 --> 01:01:12.100]   So, pixels are going to be darker in that area.
[01:01:12.100 --> 01:01:15.100]   So, that is the eye part and the lower part below is white.
[01:01:15.100 --> 01:01:18.100]   And in this one, you are having the nose part
[01:01:18.100 --> 01:01:21.100]   and you are having the eyes.
[01:01:21.100 --> 01:01:24.100]   And that is how face detection filter works.
[01:01:24.100 --> 01:01:26.100]   I mean, you have seen -- yeah.
[01:01:26.100 --> 01:01:42.100]   Isn't it?
[01:01:42.100 --> 01:01:45.100]   This is the nose.
[01:01:45.100 --> 01:01:48.100]   Like, the white part is the nose.
[01:01:48.100 --> 01:01:50.100]   Yeah.
[01:01:50.100 --> 01:01:53.100]   Yeah.
[01:01:53.100 --> 01:01:55.100]   Yeah.
[01:01:55.100 --> 01:02:00.100]   Yeah.
[01:02:00.100 --> 01:02:03.100]   It's this part.
[01:02:03.100 --> 01:02:07.100]   It's also this example is really to make --
[01:02:07.100 --> 01:02:11.100]   to show you that you have vertical and horizontal filters.
[01:02:11.100 --> 01:02:15.100]   Most of these, you have seen them probably in cameras,
[01:02:15.100 --> 01:02:18.100]   your own phone, which does face detection.
[01:02:18.100 --> 01:02:21.100]   It actually is capable of detecting your faces.
[01:02:21.100 --> 01:02:23.100]   And if you are using even image filters,
[01:02:23.100 --> 01:02:25.100]   that is how they -- in an easy way,
[01:02:25.100 --> 01:02:27.100]   detect your face right now.
[01:02:27.100 --> 01:02:29.100]   They are using other algorithms,
[01:02:29.100 --> 01:02:31.100]   but this is an easy way to do this.
[01:02:31.100 --> 01:02:33.100]   And it is from 2001.
[01:02:33.100 --> 01:02:36.100]   So, before any of the social media existed,
[01:02:36.100 --> 01:02:39.100]   you have seen it in vertical and horizontal.
[01:02:39.100 --> 01:02:42.100]   And yes, we can also do it diagonal.
[01:02:42.100 --> 01:02:45.100]   So, this is how it would look.
[01:02:45.100 --> 01:02:49.100]   Which means, when you are moving your head,
[01:02:49.100 --> 01:02:52.100]   that is why the camera still detects you,
[01:02:52.100 --> 01:02:55.100]   even if you are not straightforward looking at the camera.
[01:02:55.100 --> 01:03:01.100]   And, yeah.
[01:03:01.100 --> 01:03:06.100]   This brings us to the last slide,
[01:03:06.100 --> 01:03:10.100]   which basically on Thursday you are going to learn image features.
[01:03:10.100 --> 01:03:14.100]   Any questions before --
[01:03:14.100 --> 01:03:18.100]   here is some crazy animation that Marc has put in?
[01:03:18.100 --> 01:03:22.100]   I know.
[01:03:22.100 --> 01:03:30.100]   (Applause)
[01:03:30.100 --> 01:03:33.100]   (Applause)
[01:03:33.100 --> 01:03:36.260]   (audience applauding)

