
[00:00:00.000 --> 00:00:02.760]   Okay, good morning everyone.
[01:25:12.320 --> 01:25:15.320]   You see it's surround images.
[01:25:15.320 --> 01:25:18.320]   Full 180 views kind of from all four sides of the car.
[01:25:18.320 --> 01:25:21.320]   So we had a surround view of the car.
[01:25:21.320 --> 01:25:25.320]   Those rays corresponds to things we signed the environment and could localize our self with.
[01:25:25.320 --> 01:25:27.320]   This is a top view of the parking garage.
[01:25:27.320 --> 01:25:35.320]   This is where the car is and each of those rays corresponds to one point we recognize in one of those views.
[01:25:35.320 --> 01:25:44.320]   This was then some real time geometric obstacle kind of detection from those fisheye cameras.
[01:25:44.320 --> 01:25:46.320]   Determining free space.
[01:25:46.320 --> 01:25:49.320]   Finding free parking spots and stuff like that.
[01:25:49.320 --> 01:25:53.320]   The special thing was we didn't use a stereo system for these two cameras,
[01:25:53.320 --> 01:25:58.320]   but we used the moving camera essentially, which also works.
[01:25:58.320 --> 01:26:01.320]   Some work we did longer ago.
[01:26:01.320 --> 01:26:05.320]   For robots, this was azimot.
[01:26:05.320 --> 01:26:12.320]   This was a humanoid robot built already 15 years ago or 20 years ago almost.
[01:26:12.320 --> 01:26:14.320]   This was around 2010.
[01:26:14.320 --> 01:26:17.320]   Again, you see optical flow, tracking features.
[01:26:17.320 --> 01:26:23.320]   We'll see the basics of this in this lecture, again in the sixth lecture.
[01:26:23.320 --> 01:26:25.320]   This then determines and builds map.
[01:26:25.320 --> 01:26:31.320]   In some way, what we do here is also very related to some of the things we do at this point
[01:26:31.320 --> 01:26:34.320]   that I explained earlier that we do at Microsoft.
[01:26:34.320 --> 01:26:38.320]   And also actually that one of the other teams here in Mixuality are doing
[01:26:38.320 --> 01:26:43.320]   replace this robot with a headset with cameras and the person walks around.
[01:26:43.320 --> 01:26:47.320]   You also need to map the environment and do all this in real time in the background.
[01:26:47.320 --> 01:26:54.320]   Just as you walk around, all of this stuff is happening under the hood in the device, essentially.
[01:26:54.320 --> 01:26:57.320]   Then here's some drone stuff.
[01:26:57.320 --> 01:27:04.320]   PIXHawk was a project in the lab and together with many others,
[01:27:04.320 --> 01:27:07.320]   or students from all the different departments,
[01:27:07.320 --> 01:27:13.320]   our goal was to enable onboard computer vision autonomous drones,
[01:27:13.320 --> 01:27:16.320]   but very quickly we realized there was missing infrastructure.
[01:27:16.320 --> 01:27:22.320]   And so we built, or in particular, Lorenz Meyer,
[01:27:22.320 --> 01:27:27.320]   got students from electrical engineering, from mechanical engineering
[01:27:27.320 --> 01:27:31.320]   and started building everything that was needed to enable these computer vision explorations,
[01:27:31.320 --> 01:27:36.320]   but essentially built all of the drone software,
[01:27:36.320 --> 01:27:42.320]   the electronics that would control and be the core of the drone,
[01:27:42.320 --> 01:27:47.320]   which became PIXHawk and the PX4, and then this is now what,
[01:27:47.320 --> 01:27:49.320]   this is a whole open source ecosystem.
[01:27:49.320 --> 01:27:53.320]   It's actually the default open source ecosystem throughout the world.
[01:27:53.320 --> 01:27:56.320]   Oterian is a little bit like Red Hat is doing for Linux,
[01:27:56.320 --> 01:28:00.320]   building a commercial business of services and support and so on,
[01:28:00.320 --> 01:28:07.320]   on top of an open source ecosystem, Oterian is doing that for drone software,
[01:28:07.320 --> 01:28:13.320]   for building on top of PIXHawk and so on, that is an open source ecosystem.
[01:28:13.320 --> 01:28:16.320]   But provides services to companies that don't necessarily have the expertise
[01:28:16.320 --> 01:28:20.320]   to build their own solutions on top of it and need certain modules or certain components,
[01:28:20.320 --> 01:28:24.320]   and then they build it for those customers of theirs.
[01:28:24.320 --> 01:28:31.320]   This was the first fully autonomously flying drone
[01:28:31.320 --> 01:28:38.320]   that was flying purely camera-based in close proximity to objects.
[01:28:38.320 --> 01:28:41.320]   So not something that was flying high above with the camera looking down,
[01:28:41.320 --> 01:28:45.320]   but actually something that could avoid obstacles and map out nearby obstacles
[01:28:45.320 --> 01:28:52.320]   and both could fly indoors and outdoors and kind of explore a space and map out a space.
[01:28:52.320 --> 01:28:58.320]   So this was essentially, so some of the boards we built were building,
[01:28:58.320 --> 01:29:03.320]   the students essentially built the first kind of small board flying PC
[01:29:03.320 --> 01:29:06.320]   that could fly on top of a drone.
[01:29:06.320 --> 01:29:09.320]   And that board was both used here for those experiments,
[01:29:09.320 --> 01:29:15.320]   but was also, the batch was made and was sent to CMU and Stanford and MIT,
[01:29:15.320 --> 01:29:20.320]   and so they had somehow made the connections and all of those labs also got some boards to,
[01:29:20.320 --> 01:29:25.320]   and that enabled a lot of research at a time where people had a separate PC doing computing
[01:29:25.320 --> 01:29:30.320]   and then a Wi-Fi connection to the drone, which was very flaky and often the drone would crash
[01:29:30.320 --> 01:29:32.320]   because of the data not getting through.
[01:29:32.320 --> 01:29:36.320]   If the control was actually based on what happened on the PC,
[01:29:36.320 --> 01:29:39.320]   the Wi-Fi connection went down, the drone would kind of crash,
[01:29:39.320 --> 01:29:45.320]   and so having the compute on the drone enabled a lot of research at a time.
[01:29:45.320 --> 01:29:49.320]   As an example, okay, I skipped this one.
[01:29:49.320 --> 01:29:54.320]   This was some indoor navigation, you know, image retrieval.
[01:29:54.320 --> 01:29:56.320]   Okay, let me, I think we are out of time.
[01:29:56.320 --> 01:30:00.320]   So we participated in Project Tango, which was the predecessor of ARCore.
[01:30:00.320 --> 01:30:03.320]   Google was actually planning to build their own devices,
[01:30:03.320 --> 01:30:08.320]   trying to build special phones with depth cameras with all kinds of special sensors
[01:30:08.320 --> 01:30:13.320]   to enable AR experiences on phone type form factors or tablet type form factors.
[01:30:13.320 --> 01:30:16.320]   And then suddenly Apple came out with ARKit,
[01:30:16.320 --> 01:30:21.320]   and Google was like the people there were in shock.
[01:30:21.320 --> 01:30:24.320]   But then what they did was they pivoted their, this effort,
[01:30:24.320 --> 01:30:28.320]   they threw away the special tablets which, you know, took too long to build
[01:30:28.320 --> 01:30:33.320]   and were only building a few thousands and so on.
[01:30:33.320 --> 01:30:36.320]   They threw all of that effort away and tried to use what they wrote,
[01:30:36.320 --> 01:30:40.320]   pivot that and build that in Android phones, and that is what then became,
[01:30:40.320 --> 01:30:43.320]   in a few months they were able to launch ARCore, you know,
[01:30:43.320 --> 01:30:45.320]   a few models at a time and then generalize it.
[01:30:45.320 --> 01:30:48.320]   There are challenges of course that people that build phones,
[01:30:48.320 --> 01:30:52.320]   the OEMs that build phones, they actually don't build them for supporting tracking
[01:30:52.320 --> 01:30:54.320]   while Apple is very smart.
[01:30:54.320 --> 01:30:58.320]   If they decide to build ARKit, they are already building in all the right sensors
[01:30:58.320 --> 01:31:02.320]   and all the right synchronization between your cameras and your IAMUs
[01:31:02.320 --> 01:31:05.320]   and all of those things are done all properly and everything is factory calibrated
[01:31:05.320 --> 01:31:07.320]   and everything is going to work perfectly.
[01:31:07.320 --> 01:31:10.320]   And poor guys at Google are to, you know, struggle big time
[01:31:10.320 --> 01:31:16.320]   to try to match the quality of what Apple was doing
[01:31:16.320 --> 01:31:20.320]   with essentially OEMs that had just slapped together components,
[01:31:20.320 --> 01:31:23.320]   not thinking about doing AR with it and so on and so on.
[01:31:23.320 --> 01:31:27.320]   A little bit better in the meanwhile, but, you know, there is still a gap between the two.
[01:31:27.320 --> 01:31:31.320]   For example, but at least they had done the Tango project,
[01:31:31.320 --> 01:31:36.320]   enable them to very quick follow behind.
[01:31:36.320 --> 01:31:41.320]   Okay, and so this I won't talk about this time, but it will probably come back at some point.
[01:31:41.320 --> 01:31:44.320]   And there are many more examples in the slides that you will find
[01:31:44.320 --> 01:31:46.320]   if there are some things that are particularly of interest to you,
[01:31:46.320 --> 01:31:49.320]   don't hesitate to reach out or things like that.
[01:31:49.320 --> 01:31:51.320]   I leave it at that for today.
[01:31:51.320 --> 01:31:56.320]   [applause]

