
[00:00:00.000 --> 00:00:02.120]   (gentle music)
[01:19:42.260 --> 01:19:44.260]   and this data set is also available.
[01:19:44.260 --> 01:19:47.260]   So there are about 80 materials here.
[01:19:47.260 --> 01:19:53.260]   And I think you can, in one of your projects,
[01:19:53.260 --> 01:19:57.260]   try to kind of measure, load these data files
[01:19:57.260 --> 01:19:59.260]   and then render with them directly.
[01:19:59.260 --> 01:20:01.260]   So something like this.
[01:20:01.260 --> 01:20:04.260]   So this is the RGL material database.
[01:20:04.260 --> 01:20:08.260]   There are tools available to look at different BRDFs,
[01:20:08.260 --> 01:20:11.260]   because BRDFs can be a complex function.
[01:20:11.260 --> 01:20:13.260]   It's not easily visualizable
[01:20:13.260 --> 01:20:15.260]   because it's a four-dimensional function.
[01:20:15.260 --> 01:20:19.260]   So usually what people do is they plot the BRDF in different ways.
[01:20:19.260 --> 01:20:21.260]   So you can fix one of the dimensions.
[01:20:21.260 --> 01:20:24.260]   So you fix the viewing angle,
[01:20:24.260 --> 01:20:28.260]   and then you have a three-dimensional function that comes up.
[01:20:28.260 --> 01:20:30.260]   So this blob that you see,
[01:20:30.260 --> 01:20:34.260]   that is kind of a gold and blue-colored blob,
[01:20:34.260 --> 01:20:37.260]   so that is the visualization of the BRDF.
[01:20:37.260 --> 01:20:39.260]   So you're fixing one of the angles,
[01:20:39.260 --> 01:20:41.260]   which is the light direction,
[01:20:41.260 --> 01:20:45.260]   and then you can then move around in a 3D viewer
[01:20:45.260 --> 01:20:48.260]   to look at the light response for different directions.
[01:20:48.260 --> 01:20:50.260]   So that's one way to do it.
[01:20:50.260 --> 01:20:54.260]   So you can do one of the tools that you can download and try it out.
[01:20:54.260 --> 01:20:57.260]   And the other different plots.
[01:20:57.260 --> 01:20:59.260]   So you can go smaller dimensions,
[01:20:59.260 --> 01:21:04.260]   you can fix the view two of the four dimensions,
[01:21:04.260 --> 01:21:10.260]   and then look at it as a 2D graph or a polar chart,
[01:21:10.260 --> 01:21:13.260]   and all of these are different ways of visualizing the BRDF.
[01:21:13.260 --> 01:21:16.260]   So on the bottom right,
[01:21:16.260 --> 01:21:19.260]   you see a 2D version of the same plot.
[01:21:19.260 --> 01:21:21.260]   Then the more dimensions you reduce,
[01:21:21.260 --> 01:21:23.260]   the less idea you get.
[01:21:23.260 --> 01:21:25.260]   You get an idea of the general shape,
[01:21:25.260 --> 01:21:28.260]   and because most materials kind of are symmetric in nature,
[01:21:28.260 --> 01:21:31.260]   they would have a similar response on the other side,
[01:21:31.260 --> 01:21:33.260]   so you maybe don't need to see the entire thing.
[01:21:33.260 --> 01:21:35.260]   But that's the idea.
[01:21:35.260 --> 01:21:37.260]   So all these BRDFs, you can plot them
[01:21:37.260 --> 01:21:40.260]   and kind of see what they actually look like.
[01:21:40.260 --> 01:21:45.260]   So further reading from the PBR book,
[01:21:45.260 --> 01:21:52.260]   we'll have more on how to sample these BRDFs,
[01:21:52.260 --> 01:21:55.260]   especially around the more specular region.
[01:21:55.260 --> 01:22:02.260]   We already saw the diffuse BRDF in your first assignment
[01:22:02.260 --> 01:22:04.260]   that you're doing,
[01:22:04.260 --> 01:22:10.260]   probably the material that we use for direct lighting,
[01:22:10.260 --> 01:22:13.260]   that whole thing is diffuse objects.
[01:22:13.260 --> 01:22:15.260]   So we are already doing that.
[01:22:15.260 --> 01:22:19.260]   You have a sample method that is cosign weighted hemisphere sampling
[01:22:19.260 --> 01:22:21.260]   that is given to you that you're using.
[01:22:21.260 --> 01:22:23.260]   But there will be more to come,
[01:22:23.260 --> 01:22:26.260]   and things get more exciting from here on.
[01:22:26.260 --> 01:22:31.260]   Any questions on this or clarifications on BRDFs?
[01:22:31.260 --> 01:22:38.260]   Awesome.
[01:22:38.260 --> 01:22:40.260]   So I think we are almost in time.
[01:22:40.260 --> 01:22:44.260]   So we'll see you at the exercise session, any of you.
[01:22:44.260 --> 01:22:47.260]   Thank you.
[01:22:47.260 --> 01:22:49.960]   (audience applauding)

